timestamp,readingtime,temperature,humidity,pressure,altitude,temperature status,humidity status,pressure status
1638215968796,00:59:28 2021/11/30,21.4,51.54,953.81,507.07,NORMAL,NORMAL,NORMAL
1638216028803,01:00:28 2021/11/30,21.41,51.53,953.88,506.49,NORMAL,NORMAL,NORMAL
1638216088810,01:01:28 2021/11/30,21.4,51.44,953.89,506.33,NORMAL,NORMAL,NORMAL
1638216148816,01:02:28 2021/11/30,21.4,51.56,953.92,506.13,NORMAL,NORMAL,NORMAL
1638216208823,01:03:28 2021/11/30,21.4,51.47,953.92,506.11,NORMAL,NORMAL,NORMAL
1638216268829,01:04:28 2021/11/30,21.4,51.44,953.91,506.17,NORMAL,NORMAL,NORMAL
1638216328836,01:05:28 2021/11/30,21.4,51.49,953.91,506.16,NORMAL,NORMAL,NORMAL
1638216388847,01:06:28 2021/11/30,21.4,51.48,953.92,506.07,NORMAL,NORMAL,NORMAL
1638216448850,01:07:28 2021/11/30,21.4,51.46,953.89,506.38,NORMAL,NORMAL,NORMAL
1638216508856,01:08:28 2021/11/30,21.39,51.44,953.88,506.42,NORMAL,NORMAL,NORMAL
1638216568862,01:09:28 2021/11/30,21.39,51.49,953.9,506.27,NORMAL,NORMAL,NORMAL
1638216628869,01:10:28 2021/11/30,21.4,51.57,953.92,506.13,NORMAL,NORMAL,NORMAL
1638216688876,01:11:28 2021/11/30,21.39,51.48,953.89,506.39,NORMAL,NORMAL,NORMAL
1638216748882,01:12:28 2021/11/30,21.39,51.42,953.9,506.35,NORMAL,NORMAL,NORMAL
1638216808905,01:13:28 2021/11/30,21.39,51.61,953.9,506.28,NORMAL,NORMAL,NORMAL
1638216868894,01:14:28 2021/11/30,21.39,51.57,953.91,506.22,NORMAL,NORMAL,NORMAL
1638216929007,01:15:29 2021/11/30,21.38,51.56,953.87,506.54,NORMAL,NORMAL,NORMAL
1638216988913,01:16:28 2021/11/30,21.38,51.7,953.88,506.46,NORMAL,NORMAL,NORMAL
1638217048936,01:17:28 2021/11/30,21.38,51.7,953.87,506.5,NORMAL,NORMAL,NORMAL
